track,slice,x,y
4,460,1306,800
4,463,1302,798
4,466,1299,796
4,469,1295,796
4,472,1292,792
4,475,1290,791
4,478,1285,789
4,481,1281,783
4,484,1276,778
4,487,1268,774
4,490,1262,771
4,493,1254,762
4,496,1246,756
4,499,1241,750
4,502,1238,745
4,505,1234,743
4,508,1225,738
4,511,1222,735
4,514,1218,732
4,517,1209,729
4,520,1208,728
4,523,1203,726
4,526,1193,722
4,529,1182,714
4,532,1178,712
4,535,1176,710
4,538,1171,708
4,541,1169,706
4,544,1166,703
4,547,1161,701
4,550,1156,699
4,553,1155,698
4,556,1153,697
4,559,1151,694
4,562,1147,688
4,565,1146,684
4,568,1145,683
4,571,1141,678
4,574,1137,672
4,577,1133,670
4,580,1126,667
4,583,1121,663
4,586,1115,658
4,589,1112,655
4,592,1107,652
4,595,1097,647
4,598,1089,643
4,601,1085,644
4,604,1082,644
4,607,1079,642
4,610,1075,640
4,613,1070,636
4,616,1063,630
4,619,1057,625
4,622,1054,621
4,625,1050,614
4,628,1045,605
4,631,1040,603
4,634,1038,599
4,637,1038,596
4,640,1036,591
4,643,1034,589
4,646,1033,585
4,649,1027,582
4,652,1023,577
4,655,1019,573
4,658,1015,571
4,661,1010,570
4,664,1005,569
4,667,1003,566
4,670,999,562
4,673,997,555
4,676,991,549
4,679,986,545
4,682,981,542
4,685,973,539
4,688,965,533
4,691,959,527
4,694,949,520
4,697,945,517
4,700,943,511
4,703,939,506
4,706,933,500
4,709,929,496
4,712,926,491
4,715,924,486
4,718,920,484
4,721,916,480
4,724,915,478
4,727,911,477
4,730,906,477
4,733,901,472
4,736,899,469
4,739,893,467
4,742,889,464
4,745,885,459
4,748,880,458
4,751,873,455
4,754,867,450
4,757,865,448
4,760,862,448
4,763,860,447
4,766,854,445
4,769,856,444
4,772,856,447
4,775,851,442
4,778,849,435
4,781,846,431
4,784,845,431
4,787,847,429
4,790,845,425
4,793,840,426
4,796,839,423
4,799,841,424
4,802,841,422
4,805,839,422
4,808,834,413
4,811,833,412
4,814,830,410
4,817,825,406
4,820,819,406
4,823,813,406
4,826,806,402
4,829,800,399
4,832,799,399
4,835,799,398
4,838,795,397
4,841,789,389
4,844,784,385
4,847,779,382
4,850,776,380
4,853,768,371
4,856,763,366
4,859,758,363
4,862,756,360
4,865,754,357
4,868,750,353
4,871,748,351
4,874,744,344
4,877,737,335
4,880,734,331
4,883,733,329
5,1,1668,1082
5,4,1666,1080
5,7,1662,1077
5,10,1660,1076
5,13,1658,1077
5,16,1654,1079
5,19,1650,1079
5,22,1646,1075
5,25,1643,1072
5,28,1641,1070
5,31,1640,1065
5,34,1637,1061
5,37,1630,1054
5,40,1627,1052
5,43,1625,1045
5,46,1617,1041
5,49,1616,1038
5,52,1617,1035
5,55,1612,1033
5,58,1609,1031
5,61,1609,1027
5,64,1606,1022
5,67,1599,1013
5,70,1596,1008
5,73,1592,1006
5,76,1589,999
5,79,1586,990
5,82,1585,987
5,85,1583,984
5,88,1583,981
5,91,1586,980
5,94,1588,980
5,97,1590,978
5,100,1592,978
5,103,1594,978
5,106,1595,978
5,109,1596,977
5,112,1596,976
5,115,1595,978
5,118,1594,979
5,121,1593,980
5,124,1593,982
5,127,1593,983
5,130,1594,983
5,133,1595,981
5,136,1593,982
5,139,1590,987
5,142,1587,992
5,145,1586,996
5,148,1586,997
5,151,1585,998
5,154,1585,998
5,157,1587,1001
5,160,1591,1003
5,163,1592,1004
5,166,1592,1003
5,169,1590,1000
5,172,1584,996
5,175,1583,993
5,178,1581,989
5,181,1582,984
5,184,1582,978
5,187,1579,972
5,190,1577,971
5,193,1573,969
5,196,1568,968
5,199,1567,966
5,202,1566,964
5,205,1566,966
5,208,1566,966
5,211,1567,966
5,214,1568,967
5,217,1570,967
5,220,1570,966
5,223,1571,964
5,226,1579,960
5,229,1582,959
5,232,1584,959
5,235,1584,960
